Date,State,CO conc (ppm),NO2 conc (ppb),O3 conc (ppm),Pb conc (ug/m3 SC),PM10 conc (ug/m3 SC),PM2.5 conc (ug/m3 LC),SO2 conc (ppb),Total Cases,Confirmed Cases,Sum New Cases
2020-08-28,CA,0.4855555555555556,19.39765625,0.05503141361256545,0.011,43.214285714285715,20.8065,1.2958333333333334,688858.0,688858.0,5329.0
2020-08-29,CA,0.3878048780487805,12.209756097560975,0.05386413043478261,0.0075,41.0989010989011,21.071140939597313,0.82,693839.0,693839.0,4981.0
2020-08-30,CA,0.37926829268292683,10.131147540983607,0.05355263157894737,0.007,40.81111111111111,22.134666666666664,0.9386363636363636,699909.0,699909.0,6070.0
2020-08-31,CA,0.36942675159235666,15.339512195121952,0.05903886925795052,0.004914285714285715,49.096638655462186,22.87326388888889,0.8072164948453608,704085.0,704085.0,4176.0
2020-09-01,CA,0.3728395061728395,14.391935483870967,0.05588359788359788,0.018,46.73626373626374,18.8472972972973,0.7422222222222222,707797.0,707797.0,3712.0
2020-09-02,CA,0.35432098765432096,15.144628099173554,0.05549729729729729,0.032,42.42391304347826,16.95202702702703,0.9577777777777778,712052.0,712052.0,4255.0
2020-09-03,CA,0.40337078651685393,18.355384615384615,0.0611980198019802,0.014,48.38461538461539,19.958048780487804,0.8791666666666668,717177.0,717177.0,5125.0
2020-09-04,CA,0.5109756097560976,24.985950413223144,0.0661058201058201,0.013500000000000002,48.66304347826087,22.554054054054053,1.0733333333333335,722283.0,722283.0,5106.0
2020-09-05,CA,0.651219512195122,28.147540983606557,0.06926595744680851,0.019,54.55555555555556,24.697278911564627,1.989189189189189,727239.0,727239.0,4956.0
2020-09-06,CA,0.8705882352941177,27.0859649122807,0.07436046511627907,0.007075471698113208,70.2548076923077,30.426819923371646,1.6566666666666667,732144.0,732144.0,4905.0
2020-09-07,CA,0.6229729729729729,19.76909090909091,0.05356818181818182,0.011,78.4,32.22071428571428,1.8485714285714288,735235.0,735235.0,3091.0
2020-09-08,CA,0.4135135135135135,17.09908256880734,0.042039772727272724,0.013,221.67032967032966,37.6948905109489,1.2432432432432432,737911.0,737911.0,2676.0
2020-09-09,CA,0.5219512195121951,20.846218487394957,0.034082474226804126,0.0165,82.60176991150442,23.866145833333334,1.075,739527.0,739527.0,1616.0
2020-09-10,CA,0.8960526315789473,27.609649122807017,0.02758918918918919,0.021,89.18947368421053,48.511267605633805,1.2783783783783782,742865.0,742865.0,3338.0
2020-09-11,CA,1.183116883116883,31.015652173913043,0.041929347826086955,0.029,97.40860215053763,70.66950354609929,1.3657894736842104,746191.0,746191.0,3326.0
2020-09-12,CA,1.312987012987013,33.396039603960396,0.056599290780141844,0.013384615384615384,111.76890756302521,68.59928315412186,1.3279569892473118,750298.0,750298.0,4107.0
2020-09-13,CA,1.319047619047619,21.659055118110235,0.060107692307692306,0.011,105.21505376344086,82.35263157894737,1.1500000000000001,754923.0,754923.0,4625.0
2020-09-14,CA,1.3214285714285714,28.748818897637793,0.06693298969072164,0.035,138.2888888888889,87.50592105263158,1.2395833333333333,757778.0,757778.0,2855.0
2020-09-15,CA,1.0358695652173913,30.501492537313432,0.062190243902439026,0.0205,128.88235294117646,65.290099009901,1.236,760013.0,760013.0,2235.0
2020-09-16,CA,0.8411764705882353,31.8872,0.06024352331606218,0.034,112.25531914893617,50.445454545454545,1.1408163265306122,762963.0,762963.0,2950.0
2020-09-17,CA,0.6912499999999999,28.12844827586207,0.0525027027027027,0.026,111.68085106382979,42.34864864864865,1.3116279069767443,766201.0,766201.0,3238.0
2020-09-18,CA,0.7386666666666667,31.951832460732984,0.05359778597785978,0.012791044776119403,63.062222222222225,20.62899628252788,1.1446808510638298,769831.0,769831.0,3630.0
2020-09-19,CA,0.5582278481012658,20.705737704918032,0.04617801047120419,0.012,47.31578947368421,17.84155844155844,1.1711111111111112,774135.0,774135.0,4304.0
2020-09-20,CA,0.6075949367088608,17.250833333333333,0.05153403141361256,0.008,43.505376344086024,23.455629139072848,2.1795454545454547,778400.0,778400.0,4265.0
2020-09-21,CA,0.5505747126436782,18.7234375,0.05506632653061224,0.012,63.03389830508475,29.724623115577888,1.0562500000000001,781694.0,781694.0,3294.0
2020-09-22,CA,0.4784810126582278,18.347899159663868,0.050563829787234046,0.02,57.536842105263155,18.843708609271523,0.8177777777777777,784324.0,784324.0,2630.0
2020-09-23,CA,0.5164556962025316,23.43247863247863,0.04979365079365079,0.019,63.54838709677419,18.680666666666667,1.3800000000000001,787470.0,787470.0,3146.0
2020-09-24,CA,0.596078431372549,29.677604166666665,0.05333695652173913,0.009057142857142857,59.15481171548117,18.791901408450702,0.932183908045977,790640.0,790640.0,3170.0
2020-09-25,CA,0.44749999999999995,19.582926829268292,0.049255208333333335,0.036,63.656565656565654,16.272077922077923,0.8775000000000001,794040.0,794040.0,3400.0
2020-09-26,CA,0.41904761904761906,15.699206349206348,0.04976923076923077,0.014,55.694736842105264,16.034868421052632,0.9333333333333333,798237.0,798237.0,4197.0
2020-09-27,CA,0.4411111111111111,16.42615384615385,0.0517783251231527,0.008,44.81666666666667,13.927586206896553,0.9717391304347827,802308.0,802308.0,4071.0
2020-09-28,CA,0.5710843373493976,25.7130081300813,0.055294736842105265,0.02,45.43617021276596,15.055405405405404,1.1441860465116278,805263.0,805263.0,2955.0
2020-09-29,CA,0.5927710843373495,29.270247933884296,0.058650537634408605,0.031,51.473118279569896,18.26081081081081,1.962222222222222,807425.0,807425.0,2162.0
2020-09-30,CA,0.7773972602739726,37.323076923076925,0.06270676691729324,0.008803278688524591,65.73953488372094,27.169708029197082,1.3104651162790697,810625.0,810625.0,3200.0
2020-10-01,CA,0.8841463414634146,37.17333333333333,0.0621436170212766,0.018,71.02083333333333,39.83825503355705,1.9409090909090911,813687.0,813687.0,3062.0
2020-10-02,CA,0.9397590361445783,36.80672268907563,0.06563350785340313,0.018,79.43877551020408,45.390728476821195,2.2755555555555556,817277.0,817277.0,3590.0
2020-10-03,CA,0.9142857142857144,30.248031496062993,0.06654854368932038,0.010499999999999999,75.58536585365853,39.6875,1.5791666666666666,819436.0,819436.0,2159.0
2020-10-04,CA,0.8121951219512195,24.487704918032787,0.0630421052631579,0.011,65.52631578947368,37.69205298013245,1.1711111111111112,823729.0,823729.0,4293.0
2020-10-05,CA,0.8048780487804879,33.4483606557377,0.06018716577540107,0.044,76.2872340425532,34.67748344370861,1.2090909090909092,826784.0,826784.0,3055.0
2020-10-06,CA,0.8727891156462586,34.63695652173913,0.06133948339483395,0.011870967741935483,73.93449781659389,30.947670250896056,1.0855555555555556,828461.0,828461.0,1677.0
2020-10-07,CA,0.655421686746988,27.631707317073168,0.05438888888888888,0.013,62.791666666666664,26.864900662251657,1.1822222222222223,831225.0,831225.0,2764.0
2020-10-08,CA,0.4206896551724138,15.582677165354331,0.046153846153846156,0.022,58.608247422680414,22.71225806451613,0.826530612244898,834800.0,834800.0,3575.0
2020-10-09,CA,0.3728260869565217,15.594736842105263,0.045123152709359605,0.0085,45.40163934426229,17.042028985507244,0.425,838606.0,838606.0,3806.0
2020-10-10,CA,0.35487804878048784,13.40725806451613,0.04042021276595745,0.008,39.72631578947368,11.778,0.5837209302325582,842776.0,842776.0,4170.0
2020-10-11,CA,0.43493975903614457,16.410569105691057,0.04203763440860215,0.008,29.180851063829788,8.729530201342282,0.6804878048780487,846579.0,846579.0,3803.0
2020-10-12,CA,0.64421768707483,32.53387096774193,0.0518735632183908,0.007815384615384615,46.0,14.021376811594203,0.9987951807228916,850028.0,850028.0,3449.0
2020-10-13,CA,0.6864197530864198,33.58099173553719,0.05338829787234043,0.029,52.27956989247312,15.242567567567567,2.905128205128205,852406.0,852406.0,2378.0
2020-10-14,CA,0.7049382716049383,34.925,0.05520652173913043,0.016,54.45161290322581,13.86418918918919,3.54390243902439,855072.0,855072.0,2666.0
2020-10-15,CA,0.7186813186813188,38.25307692307692,0.06038235294117647,0.017499999999999998,64.38842975206612,14.897524752475249,1.306521739130435,858401.0,858401.0,3329.0
2020-10-16,CA,0.7227848101265822,34.02773109243697,0.05100537634408602,0.017,50.41304347826087,11.422972972972973,1.048780487804878,861476.0,861476.0,3075.0
2020-10-17,CA,0.7525000000000001,28.97685950413223,0.054170212765957446,0.009,56.17391304347826,16.63866666666667,1.3238095238095238,864455.0,864455.0,2979.0
2020-10-18,CA,0.676,25.5595,0.058093862815884474,0.006738461538461539,57.936708860759495,21.736363636363638,1.1436781609195403,867317.0,867317.0,2862.0
