"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
1566,Germany,2020,18.197071,10.960087,34.000000,95.723369,96.796964,100.000000
1567,Germany,2021,17.139931,11.000000,23.392631,96.984300,98.000000,98.762452
1568,Germany,2021,13.237514,8.708991,13.000000,99.463398,98.481095,100.000000
1569,Germany,2021,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1570,Germany,2020,13.473684,8.816186,14.000000,99.285301,98.400898,100.000000
1571,Germany,2020,15.619234,10.000000,19.923013,97.864511,100.000000,98.845071
1572,Germany,2020,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1573,Germany,2021,12.765175,8.494601,11.000000,99.819591,98.641489,100.000000
1574,Germany,2020,12.801542,8.467699,11.000000,99.110118,98.049971,99.000000
1575,Germany,2021,17.488563,10.638502,31.000000,96.257659,97.037554,100.000000
1576,Germany,2020,18.197071,10.960087,34.000000,95.723369,96.796964,100.000000
1577,Germany,2021,17.833832,10.664990,32.000000,93.951142,95.182803,97.000000
1578,Germany,2021,11.987033,8.000000,9.000000,100.334007,100.000000,100.000000
1579,Germany,2020,13.306657,9.000000,10.000000,99.464245,99.000000,99.000000
1580,Germany,2020,11.348159,7.851431,5.0,100.888171,99.122669,100.0
1581,Germany,2021,11.348159,7.851431,5.0,100.888171,99.122669,100.0
1582,Germany,2021,7.000000,4.000000,3.0,98.000000,98.000000,98.0
1583,Germany,2021,7.000000,5.491299,6.0,100.000000,98.321157,98.0
1584,Germany,2020,7.000000,5.626321,5.0,100.000000,99.236968,100.0
1585,Germany,2020,11.348159,7.851431,5.0,100.888171,99.122669,100.0
1586,Germany,2021,13.234458,9.000000,12.0,95.984151,78.000000,99.0
1587,Germany,2020,14.781429,10.000000,13.0,98.866009,98.000000,99.0
1588,Germany,2021,16.851352,11.000000,17.0,94.676318,99.000000,93.0
1589,Germany,2020,13.079600,8.000000,16.0,96.490344,99.000000,96.0
1590,Germany,2021,11.130386,7.448725,3.0,96.278050,95.142437,93.0
1591,Germany,2020,10.930583,7.314628,2.0,95.746673,94.631116,92.0
1592,Germany,2021,13.253911,8.000000,20.0,98.421177,100.000000,100.0
1593,Germany,2020,15.541243,10.000000,20.0,98.566381,100.000000,100.0
1594,Germany,2021,9.000000,6.749096,6.0,94.000000,97.846882,100.0
1595,Germany,2021,9.000000,6.766892,5.0,94.000000,97.874612,100.0
1596,Germany,2020,9.000000,6.730347,5.0,96.000000,98.283374,100.0
1597,Germany,2021,8.000000,5.000000,5.0,100.000000,100.000000,98.0
1598,Germany,2021,9.000000,5.000000,5.0,100.000000,92.000000,100.0
1599,Germany,2021,9.000000,6.634713,4.0,99.000000,98.480207,99.0
1600,Germany,2020,8.000000,6.000000,1.000000,98.000000,96.000000,94.000000
1601,Germany,2020,8.000000,6.137518,4.000000,98.000000,98.343860,99.000000
1602,Germany,2020,8.000000,6.177858,4.000000,99.000000,98.992282,100.000000
1603,Germany,2021,10.784226,7.000000,6.000000,98.156678,99.000000,96.000000
1604,Germany,2021,8.000000,4.000000,2.000000,92.000000,98.000000,95.000000
1605,Germany,2021,8.000000,6.078429,3.000000,99.000000,98.131931,98.000000
1606,Germany,2021,8.000000,6.214403,4.000000,97.000000,98.583520,100.000000
1607,Germany,2020,8.000000,6.078429,3.000000,99.000000,98.131931,98.000000
1608,Germany,2020,8.000000,4.000000,4.000000,95.000000,95.000000,97.000000
1609,Germany,2021,8.000000,6.100973,4.000000,100.000000,98.752623,99.000000
1610,Germany,2021,8.000000,5.000000,3.302193,99.000000,99.000000,97.830069
1611,Germany,2021,8.000000,6.196130,4.000000,98.000000,98.787901,100.000000
1612,Germany,2020,8.000000,4.000000,3.000000,96.000000,98.000000,98.000000
1613,Germany,2020,9.782947,6.000000,5.000000,95.333247,96.000000,92.000000
1614,Germany,2020,8.000000,6.213927,3.000000,98.000000,98.815631,100.000000
1615,Germany,2021,8.000000,6.111657,4.000000,93.000000,96.433873,97.000000
1616,Germany,2020,8.000000,6.119245,4.000000,99.000000,98.548242,99.000000
1617,Germany,2020,8.000000,6.146969,4.851727,89.000000,95.421439,96.614242
1618,Germany,2021,12.332545,8.000000,12.000000,99.812326,100.000000,100.000000
1619,Germany,2020,14.778185,10.000000,14.000000,98.863955,95.000000,100.000000
1620,Germany,2021,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1621,Germany,2020,17.524929,10.611599,31.000000,95.548185,96.446036,99.000000
1622,Germany,2021,17.960902,10.852892,33.000000,95.901465,96.877161,100.000000
1623,Germany,2021,17.488563,10.638502,31.000000,96.257659,97.037554,100.000000
1624,Germany,2020,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1625,Germany,2020,17.960902,10.852892,33.000000,95.901465,96.877161,100.000000
