"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/15/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"05/27/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"06/08/2020","AQS","480850009","2","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"06/20/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"07/02/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"07/14/2020","AQS","480850009","2","0.007","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"07/26/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"08/07/2020","AQS","480850009","2","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"08/19/2020","AQS","480850009","2","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"08/31/2020","AQS","480850009","2","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"09/12/2020","AQS","480850009","2","0.018","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"09/24/2020","AQS","480850009","2","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
