"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/14/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/15/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/16/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/17/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/18/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/19/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/20/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/21/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/22/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/23/2022","AQS","480291069","1","0.1","ppm","1","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/24/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/25/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/26/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/27/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/28/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","18","75.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/29/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"04/30/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/01/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/02/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/03/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/04/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/05/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/06/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"05/07/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
